Security Code & Security Name	ISIN Code	Date Listed	Market	Industrial Group	CFICode	Remarks
1805¡@BLG	TW0001805000	1989/10/20	TWSE LISTED	Building Material&Construction	ESVUFR	
1806¡@CHAMPION	TW0001806008	1992/09/29	TWSE LISTED	Glass & Ceramic	ESVUFR	
1808¡@RUN LONG	TW0001808004	1994/10/26	TWSE LISTED	Building Material&Construction	ESVUFR	
1809¡@CHINA GLAZE	TW0001809002	1996/04/30	TWSE LISTED	Glass & Ceramic	ESVUFR	
1810¡@HCG	TW0001810000	1991/10/14	TWSE LISTED	Glass & Ceramic	ESVUFR	
1817¡@SANITAR	TW0001817005	2013/10/24	TWSE LISTED	Glass & Ceramic	ESVUFR	
1903¡@SHIHLIN PAPER	TW0001903003	1963/12/09	TWSE LISTED	Paper & Pulp	ESVUFR	
1904¡@CHENG LOONG	TW0001904001	1971/09/10	TWSE LISTED	Paper & Pulp	ESVUFR	
1905¡@CHP	TW0001905008	1975/02/07	TWSE LISTED	Paper & Pulp	ESVUFR	
1906¡@BAOLONG INTL.	TW0001906006	1976/04/26	TWSE LISTED	Paper & Pulp	ESVUFR	
1907¡@YFY	TW0001907004	1977/02/22	TWSE LISTED	Paper & Pulp	ESVUFR	
1909¡@LONGCHEN P&P	TW0001909000	1985/11/19	TWSE LISTED	Paper & Pulp	ESVUFR	
2002¡@CSC	TW0002002003	1974/12/26	TWSE LISTED	Iron & Steel	ESVUFR	
2006¡@TUNG HO STEEL	TW0002006004	1988/07/13	TWSE LISTED	Iron & Steel	ESVUFR	
2007¡@YH	TW0002007002	1988/10/04	TWSE LISTED	Iron & Steel	ESVUFR	
2008¡@KHC	TW0002008000	1988/12/28	TWSE LISTED	Iron & Steel	ESVUFR	
2009¡@FCC	TW0002009008	1989/10/20	TWSE LISTED	Iron & Steel	ESVUFR	
2010¡@CHUN YUAN STEEL	TW0002010006	1989/12/22	TWSE LISTED	Iron & Steel	ESVUFR	
2012¡@CHUN YU	TW0002012002	1991/10/17	TWSE LISTED	Iron & Steel	ESVUFR	
2013¡@CSSC	TW0002013000	1992/01/21	TWSE LISTED	Iron & Steel	ESVUFR	
2014¡@CHUNG HUNG	TW0002014008	1992/02/20	TWSE LISTED	Iron & Steel	ESVUFR	
2015¡@FH	TW0002015005	1992/05/25	TWSE LISTED	Iron & Steel	ESVUFR	
2017¡@QUINTAIN STEEL	TW0002017001	1992/11/02	TWSE LISTED	Iron & Steel	ESVUFR	
2020¡@MAYER PIPE	TW0002020005	1993/04/27	TWSE LISTED	Iron & Steel	ESVUFR	
2022¡@TYCOONS	TW0002022001	1995/03/27	TWSE LISTED	Iron & Steel	ESVUFR	
2023¡@YP	TW0002023009	1995/07/28	TWSE LISTED	Iron & Steel	ESVUFR	
2024¡@CHIH LIEN	TW0002024007	1995/12/30	TWSE LISTED	Iron & Steel	ESVUFR	
2025¡@CSSSC	TW0002025004	1996/02/08	TWSE LISTED	Iron & Steel	ESVUFR	
2027¡@TC	TW0002027000	1996/10/24	TWSE LISTED	Iron & Steel	ESVUFR	
2028¡@WEI CHIH	TW0002028008	1996/12/13	TWSE LISTED	Iron & Steel	ESVUFR	
2029¡@SYSCO	TW0002029006	1997/01/11	TWSE LISTED	Iron & Steel	ESVUFR	
2030¡@FROCH	TW0002030004	1998/12/24	TWSE LISTED	Iron & Steel	ESVUFR	
2031¡@HKSSTEEL	TW0002031002	2000/09/11	TWSE LISTED	Iron & Steel	ESVUFR	
2032¡@SINKANG	TW0002032000	2000/09/11	TWSE LISTED	Iron & Steel	ESVUFR	
2033¡@CHIA TA	TW0002033008	2000/09/11	TWSE LISTED	Iron & Steel	ESVUFR	
2034¡@YC	TW0002034006	2001/09/17	TWSE LISTED	Iron & Steel	ESVUFR	
2038¡@HAIKWANG	TW0002038007	2008/12/30	TWSE LISTED	Iron & Steel	ESVUFR	
2049¡@HIWIN	TW0002049004	2009/06/26	TWSE LISTED	Electric Machinery	ESVUFR	
2059¡@KING SLIDE	TW0002059003	2008/06/25	TWSE LISTED	Electronic Parts/Components	ESVUFR	
2062¡@SSM	TW0002062007	2007/11/16	TWSE LISTED	Others	ESVUFR	
2069¡@YC	TW0002069002	2016/03/22	TWSE LISTED	Iron & Steel	ESVUFR	
2101¡@NK	TW0002101003	1963/11/01	TWSE LISTED	Rubber	ESVUFR	
2102¡@FEDERAL CORP	TW0002102001	1979/07/16	TWSE LISTED	Rubber	ESVUFR	
2103¡@TSRC	TW0002103009	1982/09/25	TWSE LISTED	Rubber	ESVUFR	
2104¡@CSRC	TW0002104007	1986/07/15	TWSE LISTED	Rubber	ESVUFR	
2105¡@CST	TW0002105004	1987/12/07	TWSE LISTED	Rubber	ESVUFR	
2106¡@KENDA	TW0002106002	1990/12/20	TWSE LISTED	Rubber	ESVUFR	
2107¡@FRG	TW0002107000	1992/03/03	TWSE LISTED	Rubber	ESVUFR	
2108¡@NANTEX	TW0002108008	1992/10/27	TWSE LISTED	Rubber	ESVUFR	
2109¡@HWA FONG	TW0002109006	2000/05/08	TWSE LISTED	Rubber	ESVUFR	
2114¡@HYC	TW0002114006	2010/12/29	TWSE LISTED	Rubber	ESVUFR	
2115¡@LUHAI	KYG5700L1086	2013/12/25	TWSE LISTED	Automobile	ESVUFR	
2201¡@YL	TW0002201001	1976/07/08	TWSE LISTED	Automobile	ESVUFR	
2204¡@CMC	TW0002204005	1991/03/12	TWSE LISTED	Automobile	ESVUFR	
2206¡@SYM	TW0002206000	1996/07/29	TWSE LISTED	Automobile	ESVUFR	
2207¡@HOTAI MOTOR	TW0002207008	1997/02/25	TWSE LISTED	Automobile	ESVUFR	
2208¡@CSBC	TW0002208006	2008/12/22	TWSE LISTED	Shipping & Transportation	ESVUFR	
2227¡@YNM	TW0002227006	2004/12/21	TWSE LISTED	Automobile	ESVUFR	
2228¡@IRF	TW0002228004	2013/11/25	TWSE LISTED	Automobile	ESVUFR	
2231¡@CUB	TW0002231008	2010/11/19	TWSE LISTED	Automobile	ESVUFR	
2233¡@TURVO	TW0002233004	2019/09/17	TWSE LISTED	Automobile	ESVUFR	
2236¡@PATEC	KYG693691092	2015/06/03	TWSE LISTED	Automobile	ESVUFR	
2239¡@CAYMAN ENGLEY	KYG1991F1081	2016/01/27	TWSE LISTED	Automobile	ESVUFR	
2241¡@AMULAIRE	TW0002241007	2020/08/26	TWSE LISTED	Electric Machinery	ESVUFR	
2243¡@HS	KYG460651014	2017/09/27	TWSE LISTED	Automobile	ESVUFR	
2301¡@LTC	TW0002301009	1995/11/17	TWSE LISTED	Computer and Peripheral Equipm	ESVUFR	
2302¡@RECTRON	TW0002302007	1985/01/15	TWSE LISTED	Semiconductor Industry	ESVUFR	
2303¡@UMC	TW0002303005	1985/07/16	TWSE LISTED	Semiconductor Industry	ESVUFR	
2305¡@MII	TW0002305000	1988/10/21	TWSE LISTED	Computer and Peripheral Equipm	ESVUFR	
2308¡@DELTA	TW0002308004	1988/12/19	TWSE LISTED	Electronic Parts/Components	ESVUFR	
2312¡@KINPO	TW0002312006	1989/11/07	TWSE LISTED	Other Electronic Industry	ESVUFR	
2313¡@COMPEQ MFG.	TW0002313004	1990/07/24	TWSE LISTED	Electronic Parts/Components	ESVUFR	
2314¡@MTI	TW0002314002	1990/08/08	TWSE LISTED	Communications and Internet	ESVUFR	
2316¡@WUS	TW0002316007	1991/02/05	TWSE LISTED	Electronic Parts/Components	ESVUFR	
2317¡@HON HAI	TW0002317005	1991/06/18	TWSE LISTED	Other Electronic Industry	ESVUFR	
2321¡@TECOM	TW0002321007	1991/11/08	TWSE LISTED	Communications and Internet	ESVUFR	
2323¡@CMC	TW0002323003	1992/02/17	TWSE LISTED	Optoelectronic Industry	ESVUFR	
2324¡@COMPAL	TW0002324001	1992/02/18	TWSE LISTED	Computer and Peripheral Equipm	ESVUFR	
2327¡@YAGEO	TW0002327004	1993/10/22	TWSE LISTED	Electronic Parts/Components	ESVUFR	
2328¡@PI	TW0002328002	1993/11/09	TWSE LISTED	Electronic Parts/Components	ESVUFR	
